GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Openscoring Service,org.openscoring.service,ModelUtil,47,196,7,10,8,45,8,8,1,5
Openscoring Service,org.openscoring.service,MetricResource.new MetricFilter() {...},14,0,0,0,2,0,2,0,2,0
Openscoring Service,org.openscoring.service,NetworkSecurityContext.Anonymous,2,8,0,0,1,3,1,2,1,2
Openscoring Service,org.openscoring.service,WebApplicationExceptionMapper,0,55,1,7,0,12,1,5,0,2
Openscoring Service,org.openscoring.service,Openscoring.new AbstractBinder() {...},0,35,0,0,0,5,0,2,0,2
Openscoring Service,org.openscoring.service,NetworkSecurityContextFilter,10,77,1,3,3,21,1,5,0,4
Openscoring Service,org.openscoring.service,ModelResource,211,677,23,33,37,160,20,29,2,19
Openscoring Service,org.openscoring.service,ModelRegistry.SimpleValidationEventHandler,9,3,2,0,4,1,2,1,1,1
Openscoring Service,org.openscoring.service,CsvUtil.new CsvListReader() {...},0,6,0,0,0,2,0,2,0,2
Openscoring Service,org.openscoring.service,Model,12,79,0,0,2,26,1,10,1,10
Openscoring Service,org.openscoring.service,ModelResource.new MetricFilter() {...},0,14,0,0,0,2,0,2,0,2
Openscoring Service,org.openscoring.service,ModelResource.new StreamingOutput() {...},5,36,0,0,0,6,0,2,0,2
Openscoring Service,org.openscoring.service,MetricResource,110,0,6,0,26,0,7,0,4,0
Openscoring Service,org.openscoring.service,Openscoring,6,92,0,2,2,21,0,2,0,1
Openscoring Service,org.openscoring.service,CsvUtil,65,280,12,30,12,74,14,18,2,9
Openscoring Service,org.openscoring.service,ModelUtil.new Function() {...},0,34,0,0,0,9,0,2,0,2
Openscoring Service,org.openscoring.service,NetworkSecurityContext,14,47,3,3,5,16,5,6,2,6
Openscoring Service,org.openscoring.service,ModelUtil.new Function() {...},10,44,0,4,4,14,0,4,0,2
Openscoring Service,org.openscoring.service,ModelResource.2.new BufferedOutputStream() {...},0,10,0,0,0,3,0,2,0,2
Openscoring Service,org.openscoring.service,ModelUtil.new Function() {...},2,36,1,1,1,10,1,2,0,2
Openscoring Service,org.openscoring.service,ModelResource.new BufferedReader() {...},0,8,0,0,0,2,0,2,0,2
Openscoring Service,org.openscoring.service,ModelResource.4.new BufferedWriter() {...},0,10,0,0,0,3,0,2,0,2
Openscoring Service,org.openscoring.service,ModelUtil.new Object() {...},5,39,0,0,0,2,0,1,0,1
Openscoring Service,org.openscoring.service,ModelResource.new StreamingOutput() {...},11,26,0,0,2,6,0,2,0,2
Openscoring Service,org.openscoring.service,ModelResource.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Openscoring Service,org.openscoring.service,CsvUtil.Table,4,26,1,1,1,10,1,5,0,5
Openscoring Service,org.openscoring.service,UserResource,134,0,4,0,31,0,7,0,5,0
Openscoring Service,org.openscoring.service,NetworkSecurityContextFilter.new NetworkSecurityContext() {...},6,19,3,1,0,3,2,2,0,2
Openscoring Service,org.openscoring.service,ObjectMapperProvider,0,46,0,0,0,13,0,4,0,4
Openscoring Service,org.openscoring.service,ModelRegistry,62,199,6,10,17,46,8,12,2,10
